,Price,Address,Neighborhood,Bedrooms,Property_Type,Price_Scaled
0,400000,Fidiso Estate Abijo Ajah Lagos,Ajah,1.0,mini,-0.19531051965297916
1,14000000,Gerrard Gerrard Gerard Road Ikoyi Lagos,Ikoyi,3.0,Flat,1.0233928048915033
2,200000,Obadia Akoka Yaba Lagos,Yaba,1.0,mini,-0.2132326273668686
3,800000,surulere Iju Ishaga Road Gbaja Surulere Lagos,Surulere,2.0,Flat,-0.15946630422520028
4,300000,Close to Unilag Abule Oja Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
5,300000,Alagomeji Alagomeji Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
6,300000,Yaba Akoka Abule Oja Yaba Lagos,Yaba,2.0,Unknown,-0.2042715735099239
7,600000,Akoka Extension Akoka Yaba Lagos,Yaba,2.0,Flat,-0.17738841193908972
8,450000,Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.1908299927245068
9,1000000,no 24 Emmanuel street Alapere Kosofe Ikosi Lagos,Alapere,3.0,Flat,-0.1415441965113108
10,500000,Ladi Lak Palmgroove Shomolu Lagos,Shomolu,2.0,Flat,-0.18634946579603445
11,7000,Fola Agoro Fola Agoro Yaba Lagos,Yaba,2.0,Unknown,-0.23052746131077193
12,3300000,Ilupeju Estate Coker Road Ilupeju Lagos,Ilupeju,5.0,Flat,0.06456004219841782
13,500000,GRA Phase 2 Beside Karis school Magodo Kosofe Ikosi Lagos,Kosofe,2.0,Unknown,-0.18634946579603445
14,2500000,Agungi Agungi Agungi Lekki Lagos,Lekki,4.0,Duplex,-0.007128388657139971
15,550000,Oteyi Garden Estate ABULE-ADO BESIDE TRADE FAIR COMPLEX Satellite Town Amuwo-Odofin Lagos,Amuwo-Odofin,3.0,Flat,-0.18186893886756209
16,1500000,Magodo isheri phase1 Magodo Kosofe Ikosi Lagos,Kosofe,3.0,Flat,-0.09673892722658721
17,300000,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.2042715735099239
18,180000,Off AKoka Off Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.21502483813825757
19,150000,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.21771315429534097
20,1500000,Chevron Orchid Hotel Chevron Lekki Lagos,Lekki,3.0,Flat,-0.09673892722658721
21,85000,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.22353783930235505
22,80000,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba,1.0,mini,-0.22398589199520227
23,1200000,Alagomeji Alagomeji Yaba Lagos,Yaba,2.0,Flat,-0.12362208879742137
24,800000,Chevron Orchid Hotel Chevron Lekki Lagos,Lekki,1.0,mini,-0.15946630422520028
25,400000,Alpha beach new road before chveron New road Chevron Lekki Lagos,Lekki,3.0,Flat,-0.19531051965297916
26,1000000,Olokonla LBS Lekki Gardens Estate Ajah Lagos,Lekki,3.0,Flat,-0.1415441965113108
27,1500000,Alagomeji Alagomeji Yaba Lagos,Yaba,2.0,Unknown,-0.09673892722658721
28,850000,Off Soluyi road Soluyi Gbagada Lagos,Gbagada,3.0,Flat,-0.1549857772967279
29,600000,Off Estaport Road Soluyi Gbagada Lagos,Gbagada,2.0,Flat,-0.17738841193908972
30,450000,Ifako Gbagada Ifako Gbagada Gbagada Lagos,Gbagada,1.0,mini,-0.1908299927245068
31,7000000,Ikeja Gra Ikeja Gra Ikeja Lagos,Ikeja,3.0,House,0.39611903490537265
32,1200000,Anu Crescent Palm Crescent Estate Badore Ajah Lagos,Ajah,4.0,Bungalow,-0.12362208879742137
33,900000,Ilaje Mobil road Ilaje Lekki Lagos,Lekki,3.0,Flat,-0.15050525036825554
34,530000,Biliaminu Way Opposite NNPC depot Oke Afa Isolo Lagos,Isolo,1.0,mini,-0.18366114963895103
35,650000,Kaylee Joseph Street Behind Ojodu Local Govt Oke- ira power line Oke Ira Ogba Lagos,Ojo,2.0,Flat,-0.17290788501061735
36,350000,"Off Morris Street, yaba Yabatech Abule Oja Yaba Lagos",Yaba,1.0,mini,-0.19979104658145153
37,250000,off Bajulaiye road Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,-0.20875210043839626
38,3500000,Chevron Chevron Lekki Lagos,Lekki,5.0,Duplex,0.08248214991230726
39,500000,Bakery Adeba Lakowe Ajah Lagos,Ajah,3.0,Flat,-0.18634946579603445
40,300000,Fundamental container Awoyaya Ajah Lagos,Ajah,1.0,mini,-0.2042715735099239
41,300000,off Bajulaiye road Shomolu Shomolu Lagos,Shomolu,2.0,Unknown,-0.2042715735099239
42,400000,off Bajulaiye road Shomolu Shomolu Lagos,Shomolu,1.0,mini,-0.19531051965297916
43,5000000, Adeola Odeku street Adeola Odeku VI Lagos,VI,3.0,Unknown,0.2168979577664781
44,2200000,Behind Ikota Villa Estate Ikota Lekki Lagos,Lekki,4.0,Duplex,-0.03401155022797414
45,3500000,"Eleganza Gardens opp VGC, Lekki Lagos Lekki V.g.c Lekki Lagos",VGC,4.0,Duplex,0.08248214991230726
46,3500000,Sobo Arobiodu street Ikeja Lagos,Ikeja,2.0,Flat,0.08248214991230726
47,600000,Jibowu Jibowu Yaba Lagos,Yaba,3.0,Flat,-0.17738841193908972
48,120000,Akoka Akoka Yaba Lagos,Yaba,2.0,Unknown,-0.2204014704524244
49,600000,Jibowu Jibowu Yaba Lagos,Yaba,3.0,Flat,-0.17738841193908972
50,1200000,off Herbert Macaulay way Adekunle Yaba Lagos,Yaba,3.0,Flat,-0.12362208879742137
51,1000000,Medina Estate Medina Gbagada Lagos,Gbagada,3.0,Flat,-0.1415441965113108
